gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Obox6 ,0.24527611,0.1755358
Kptn ,0.13735877,0.1754967
Smr3a ,0.15212393,0.175455
Sp4 ,0.16005555,0.1753525
Hdgf ,0.40213505,0.1753392
Gfra2 ,0.21639387,0.1753108
Cmklr1 ,0.38716303,0.1752767
Pin1 ,0.17488241,0.1752275
1810011O10Rik ,0.59629786,0.1751342
Alkbh2 ,0.23209774,0.1751075
Icam4 ,0.29900706,0.1750908
Cdh13 ,0.28966307,0.1750583
Dnajc6 ,0.18722681,0.1749558
Ifnar1 ,0.27207031,0.1749533
Gpr3 ,0.21675807,0.17489
Pbx2 ,0.24708816,0.1748508
AV249152 ,0.1283875,0.17484
Alad ,0.12395648,0.1748325
Scye1 ,0.20869723,0.1748225
Olfr845 ,0.24909089,0.1748025
Trpm7 ,0.2121335,0.174795
Zfp580 ,0.23526629,0.1747175
Rbm47 ,0.27818553,0.1746767
Acan ,0.24929592,0.1746683
Mbd1 ,0.11931911,0.174585
Pcsk9 ,0.14453697,0.1745042
Rtn4ip1 ,0.31786751,0.1744917
Hoxb7 ,0.2204443,0.1744458
Dhx29 ,0.27156842,0.1744258
Gjb5 ,0.21163659,0.1744067
Lypd6 ,0.16004373,0.1744025
Mterfd2 ,0.23256901,0.1743858
1700034H14Rik ,0.34789456,0.1743383
Phlda3 ,0.29898202,0.17425
Adcy8 ,0.12373447,0.1742083
Cmtm4 ,0.46158379,0.1740525
Rab3a ,0.36646668,0.1740283
D130058E03 ,0.27932793,0.1739858
Krtap13-1 ,0.3044894,0.1737783
Lsm14b ,0.14400613,0.1737533
Cast ,0.44730927,0.173725
Nup54 ,0.2431305,0.1736717
Gclc ,0.40565916,0.1736517
B3gnt1 ,0.31781935,0.1736442
Glcci1 ,0.15236555,0.1735333
BC022713 ,0.4000433,0.1734633
Krtcap3 ,0.09214557,0.1734483
Nrbp1 ,0.26855836,0.1734333
B3gat3 ,0.21696767,0.1733417
A630038E17Rik ,0.32380443,0.1733317
Lrrc4c ,0.42876395,0.1733175
Dnaja3 ,0.34496198,0.173315
Dnase1l3 ,0.54148872,0.1732967
Mto1 ,0.15319684,0.1732167
C030007I09Rik ,0.34246401,0.1732117
Arg2 ,0.31415285,0.1732008
Ccl6 ,0.17228186,0.1731633
Pcdh21 ,0.20260371,0.173145
V1rc6 ,0.23786637,0.1731233
Gabrg3 ,0.09212809,0.1731192
Sorcs2 ,0.14913626,0.1731125
BC005705 ,0.13156137,0.1730692
C330023M02Rik ,0.33997277,0.1728967
Bcmo1 ,0.26161262,0.1728167
Cdh1 ,0.36846278,0.1727417
Ldlrad3 ,0.42473054,0.1727292
Kir3dl1 ,0.29678879,0.1727167
Ctsf ,0.13074115,0.1726367
Nlrp10 ,0.14847651,0.1726342
80795,0.24135069,0.1725908
Fzd3 ,0.3116874,0.1725792
Tusc4 ,0.20129903,0.1724583
D230025D16Rik ,0.3427207,0.1724425
Hoxd11 ,0.23532867,0.1724333
Apobec1 ,0.51380943,0.1724325
Psme1 ,0.26812071,0.1724283
Cldn5 ,0.51500101,0.1723583
Neurog3 ,0.25287119,0.1722908
Neurl3 ,0.58893679,0.17229
Aff4 ,0.18450703,0.1722667
Mrpl21 ,0.34017613,0.1721808
Enpp6 ,0.31033558,0.17213
4632415L05Rik ,0.12596769,0.1720742
Phf20 ,0.14279569,0.1720733
Papola ,0.25015529,0.1720667
Ankmy1 ,0.19756386,0.1720217
Os9 ,0.38249452,0.1720083
1700029P11Rik ,0.34576356,0.1719617
Carkd ,0.24383339,0.1719225
Pcdhb10 ,0.24260675,0.1718383
Iqcc ,0.15362689,0.171685
Snx4 ,0.14964393,0.1716417
Dctn3 ,0.18799689,0.1716008
Olfml3 ,0.30354224,0.1715917
Nlgn1 ,0.28006157,0.1714658
Inpp5f ,0.49775588,0.1714125
Atp5o ,0.29054062,0.1713858
Aldh1a1 ,0.11976068,0.1713608
Fpr1 ,0.46698676,0.1712867
Neu3 ,0.29382247,0.1712692
Abcb1a ,0.1985972,0.17126
Stk25 ,0.28993361,0.1712583
Nefl ,0.49786062,0.1712525
Tpbg ,0.33578854,0.1712358
Cables1 ,0.43366915,0.1712342
Tmem55a ,0.20069802,0.1712283
Tor2a ,0.24812852,0.1711567
Evi1 ,0.30953917,0.1711067
Lnx2 ,0.18101634,0.1710725
Gbgt1 ,0.46875593,0.1710692
Scamp4 ,0.30261903,0.1709833
Pramel6 ,0.13980252,0.17094
Sarm1 ,0.25583935,0.1708767
Zhx2 ,0.3109218,0.1707458
Inhbe ,0.1582416,0.1707258
Wdr51a ,0.28215634,0.1706408
Lsg1 ,0.18641679,0.1706067
Wnt9a ,0.45287877,0.1705558
Gpt2 ,0.53571285,0.1703658
Gnb1 ,0.2752554,0.1703583
Taz ,0.14955673,0.1703433
Ing5 ,0.251512,0.1703325
Hspb11 ,0.12498118,0.1703317
Scand3 ,0.3511871,0.1702275
Satb2 ,0.14221328,0.1702167
Mcm2 ,0.3136002,0.1701975
Vim ,0.63667751,0.1700967
Mul1 ,0.13507768,0.1700608
Sox17 ,0.39798078,0.1700583
Pigs ,0.29104026,0.1700367
Man1c1 ,0.21243672,0.17001
Wbp4 ,0.11253561,0.17001
BC011248 ,0.18511203,0.1698283
Tiprl ,0.31462924,0.1698083
Dullard ,0.42969475,0.1697467
Tor1aip1 ,0.21870029,0.1697417
Olfr910 ,0.10898278,0.1696958
Ube2e3 ,0.21070338,0.1696483
BC017643 ,0.22841528,0.1695708
Unkl ,0.4602636,0.1695692
Otoa ,0.29651245,0.169545
Pdia4 ,0.32637389,0.1695417
Il2ra ,0.21425046,0.169505
Tcfl5 ,0.13879111,0.1694558
Smarcd3 ,0.28510009,0.16945
Fam3c ,0.40218309,0.1694208
Zcchc13 ,0.36752781,0.1694067
Apob48r ,0.24320119,0.1693592
Rgs4 ,0.53122209,0.1692583
Gtlf3b ,0.44917045,0.1692275
Plod3 ,0.30675763,0.1692158
Tbpl1 ,0.40700893,0.1691067
Klk10 ,0.32578896,0.1691008
BC006965 ,0.12292936,0.1690592
Olfr851 ,0.58900663,0.1690492
Prkd3 ,0.15189212,0.1689758
Atp5g3 ,0.16402266,0.16895
Acta1 ,0.19587995,0.1689133
Cdh2 ,0.32533911,0.168875
Pigt ,0.42016925,0.1687642
Olfr491 ,0.42065536,0.1686808
2810432D09Rik ,0.29774569,0.168405
Serpind1 ,0.38042733,0.1683675
Mus81 ,0.21597458,0.1683375
Olfr1033 ,0.22071018,0.1683117
Ror2 ,0.20643452,0.1682742
Slc6a13 ,0.16571298,0.1681567
Sbds ,0.21008384,0.1681417
Nr2c1 ,0.29989966,0.168135
Ankle2 ,0.26677818,0.1680833
Atp7b ,0.14788637,0.1680492
Ndufb7 ,0.21810895,0.1680208
6330577E15Rik ,0.36124883,0.1680183
Exosc4 ,0.12623361,0.1680183
Bak1 ,0.38345033,0.167945
Man2b2 ,0.33576927,0.1679008
Slc9a7 ,0.20941574,0.167825
Fst ,0.20715957,0.1677558
Pea15b ,0.25081593,0.1676867
Rax ,0.22028163,0.16767
Zc3hc1 ,0.15630139,0.1676442
Snx33 ,0.30243496,0.1676375
Dusp9 ,0.31438542,0.1675083
Ctnnbip1 ,0.14505384,0.1674142
Hmx1 ,0.35876489,0.1673783
Chek2 ,0.19065609,0.1673342
sb2 ,0.35264699,0.1672875
Csnk1a1 ,0.2182028,0.16725
Lrp11 ,0.43728753,0.1672167
Exo1 ,0.17354368,0.1671133
Slc25a15 ,0.1799349,0.1671125
Sh3bp1 ,0.40392866,0.1671067
Kcna3 ,0.25011602,0.1670708
Lbxcor1 ,0.33168377,0.1670667
Ms4a6d ,0.15680203,0.167065
1700012B15Rik ,0.14800929,0.1668567
Ccr1l1 ,0.42705628,0.1668267
Nanos2 ,0.25635946,0.1668183
4930444A02Rik ,0.31633175,0.1668075
Mycl1 ,0.32818941,0.1667417
Tnni3k ,0.12966766,0.1665783
Lpcat2 ,0.12972167,0.16649
Mnx1 ,0.31189891,0.16645
Arhgap9 ,0.32736762,0.1664442
Aven ,0.31514401,0.1664433
2310016M24Rik ,0.15906123,0.1664158
Lrp2bp ,0.36134556,0.1663967
Cox4nb ,0.24553204,0.1663758
Nedd1 ,0.34082965,0.1662742
Sertad2 ,0.3806422,0.1662675
Rbm35b ,0.27218278,0.1662183
Fam78b ,0.22829071,0.1662083
Rit2 ,0.58355414,0.1661833
Ceacam10 ,0.48697373,0.1661792
Spata3 ,0.30031186,0.1661025
9030612M13Rik ,0.16763581,0.166015
Gde1 ,0.16750763,0.1659833
Wdr68 ,0.27920891,0.1659083
Sumf1 ,0.13031735,0.1658983
Pomc ,0.16063326,0.1658667
0610007P08Rik ,0.29955401,0.16582
Ciapin1 ,0.45561167,0.1657367
Lce1g ,0.20723146,0.165725
5830426I08Rik ,0.20354171,0.1656783
Slc16a9 ,0.67022152,0.1656183
Mettl6 ,0.27174134,0.1656142
Olfr616 ,0.34301458,0.1655167
Bnc2 ,0.33621556,0.1655108
Tekt3 ,0.13283338,0.165375
2210021J22Rik ,0.15431449,0.16536
Crebl2 ,0.2822527,0.1652442
Fbxo5 ,0.4109302,0.1651517
Anxa8 ,0.13368729,0.1650667
Ids ,0.37230216,0.1650083
Aaas ,0.23208187,0.1649883
Olfr1340 ,0.14513026,0.1649517
Slpi ,0.1676081,0.1649492
Zfp90 ,0.29933286,0.1648017
Gpbp1l1 ,0.11573448,0.1647292
48606,0.14078499,0.1645675
Twf2 ,0.147244,0.1645317
Usp9x ,0.19728607,0.164525
Cdv3 ,0.22085394,0.1645108
Cpox ,0.28874269,0.1644875
2310043L02Rik ,0.53213747,0.1644708
Odf2l ,0.26074429,0.1644492
Parp11 ,0.22483671,0.1643508
Cuzd1 ,0.33416021,0.1642958
Gmcl1 ,0.20760015,0.1642892
Ifitm5 ,0.22945996,0.1642142
Mdm1 ,0.27489294,0.1642042
Arhgap1 ,0.32844954,0.164155
A230059G12Rik ,0.25862919,0.1641358
Tor1aip2 ,0.38632775,0.1641192
Spata7 ,0.47768775,0.164065
Spsb4 ,0.24853294,0.1640508
Wrn ,0.25423822,0.1640442
V1rc26 ,0.3925822,0.1640125
Tmtc4 ,0.1243803,0.1640108
Hbegf ,0.54081727,0.1638933
Glod5 ,0.31560321,0.16388
Reg1 ,0.71001076,0.1638692
50921,0.36092914,0.1638492
Cypt3 ,0.36133968,0.1638225
2700078K21Rik ,0.18184819,0.1637458
Lrrc18 ,0.47493974,0.1637292
AI480653 ,0.35074586,0.1637283
Snx21 ,0.19328773,0.1636925
Abi2 ,0.27366794,0.1636808
Aprt ,0.20337683,0.1636767
Crnkl1 ,0.303338,0.1636425
Zc3h6 ,0.29980423,0.1636383
Recql ,0.20094874,0.1636
Dclk3 ,0.50217417,0.1635367
Olfr689 ,0.39095238,0.1634683
Htr1d ,0.2840091,0.1634233
Ccdc69 ,0.28346882,0.163415
Cd300lg ,0.40144411,0.1633883
Tbcel ,0.203536,0.1633275
Rtn4 ,0.20133981,0.1633225
Olfr1009 ,0.55950456,0.1632683
Tbcd ,0.1667403,0.163155
Ppy ,0.20332297,0.1629833
Tex19.1 ,0.33829232,0.1629517
St6galnac4 ,0.34698932,0.1629458
Npc2 ,0.23775481,0.1628333
Ankrd5 ,0.17026888,0.1628125
Lbr ,0.2747334,0.1627267
Defb7 ,0.28696972,0.1626875
Slc29a3 ,0.27683705,0.1625833
Eif4e2 ,0.15188241,0.16256
Klhl4 ,0.21667556,0.1625325
C030046I01Rik ,0.30845041,0.1625017
Fgr ,0.23580916,0.162465
Olfr420 ,0.65861037,0.1624592
Cyp4a10 ,0.16849408,0.1624025
Lhx5 ,0.2933069,0.1623917
Dtx1 ,0.12495507,0.1623758
Mlec ,0.22922561,0.1623717
Ncf2 ,0.34018399,0.1623367
Phlda2 ,0.55619428,0.1622117
Tarbp2 ,0.22156652,0.1621917
Dpf2 ,0.28093465,0.1620917
Fbxl20 ,0.28124855,0.1620217
Osbpl8 ,0.43814106,0.1620125
109123,0.17443901,0.1619517
Rims1 ,0.21871007,0.1619467
Scarb2 ,0.20108122,0.1619
Cyp2c54 ,0.25127533,0.1618158
Vsx2 ,0.16042727,0.1617983
Pcdhb1 ,0.22986154,0.1617358
Rtn2 ,0.24458433,0.161705
St8sia6 ,0.31377487,0.1616208
Olfr1410 ,0.57150962,0.1615458
Sfrp4 ,0.11462319,0.1615225
Olfr73 ,0.39975151,0.1615025
3110052M02Rik ,0.29348103,0.161435
C730025P13Rik ,0.30354805,0.1613333
Plk4 ,0.20578925,0.161315
Mrps7 ,0.25447094,0.1612717
Ash2l ,0.13857471,0.1610408
1700027A23Rik ,0.4033985,0.1610392
Spg20 ,0.41969946,0.1610358
Cdk5rap1 ,0.41710414,0.1609975
Ppp2r5e ,0.19116596,0.1609825
Ilf2 ,0.2367415,0.1609167
1700030K09Rik ,0.15538066,0.1608908
Crtac1 ,0.22621005,0.1608358
Ifnz ,0.62353936,0.1607908
Tmem37 ,0.20020746,0.1607858
Olfr53 ,0.45516965,0.1607725
4833418A01Rik ,0.25951912,0.1607425
Enc1 ,0.4712059,0.1607042
Smo ,0.25250761,0.1607025
Tgoln1 ,0.15845053,0.1606917
4930595M18Rik ,0.27969451,0.1606808
Ptx3 ,0.20569404,0.1606558
Lrrtm3 ,0.45950029,0.1606225
En1 ,0.39802598,0.1605592
Peg12 ,0.41284735,0.1605425
Bdkrb2 ,0.32465607,0.1604942
Hsd17b4 ,0.16797378,0.1604075
Gnpat ,0.33122888,0.160335
Tpk1 ,0.26201904,0.1603092
Zscan2 ,0.27565264,0.1602808
Vldlr ,0.59048134,0.1601908
Bcl2 ,0.16383352,0.1601258
Olfr493 ,0.16752137,0.1601217
Chrd ,0.1298515,0.1601083
Nagk ,0.17587994,0.1600833
Tnfsf18 ,0.1184964,0.1600133
Elfn1 ,0.22361875,0.1599458
Sos1 ,0.35433027,0.159835
rp9 ,0.35242747,0.1598108
Hif1an ,0.30253804,0.1597025
Ap3b1 ,0.27138942,0.1596975
Dhcr7 ,0.25816064,0.1596608
Rbmx ,0.24757602,0.159595
Wdr20a ,0.34574523,0.1595592
Cenpk ,0.26885259,0.1595317
Zc3hav1l ,0.21581806,0.1595308
Ltv1 ,0.16327876,0.1595175
Klhl31 ,0.33746843,0.1594175
Lrrc27 ,0.33296579,0.15898
Crabp2 ,0.12243377,0.1589225
Eif5a ,0.33400182,0.15887
Olfr1459 ,0.29195199,0.1587733
Gne ,0.22729995,0.1586333
Prr18 ,0.3823435,0.1586192
Rbm41 ,0.27518705,0.1586142
D19Ertd737e ,0.1971499,0.1585767
Rnf148 ,0.28699428,0.1585708
B630019K06Rik ,0.55993219,0.1584975
Mfge8 ,0.53670115,0.1584917
Olfr578 ,0.20348081,0.1584825
Cbr2 ,0.29890602,0.1584075
Mad2l2 ,0.17501415,0.1583467
Ranbp1 ,0.25801045,0.1582583
Ankrd17 ,0.26414658,0.1582333
Agxt2l2 ,0.26536371,0.1581917
Fev ,0.40817076,0.1581225
Uxt ,0.36603879,0.1579883
2410001C21Rik ,0.30140546,0.157965
Giyd2 ,0.17032137,0.1579408
Npdc1 ,0.29546503,0.1579308
Olfr382 ,0.28146281,0.1579167
Zcchc7 ,0.17111292,0.1578975
Ubr1 ,0.18761456,0.1578792
Ighg ,0.30938779,0.1578283
V1rh1 ,0.42850544,0.1577408
Itfg3 ,0.38210512,0.1577067
Chrm4 ,0.41344778,0.1575983
Hapln2 ,0.27421811,0.1575283
Olfr1282 ,0.4397055,0.1574933
Rgmb ,0.24234368,0.1574775
Kctd6 ,0.38982758,0.1574192
Zfp385c ,0.19462896,0.1572908
Olfr476 ,0.65282636,0.15727
Miox ,0.25768153,0.1572558
1700016H13Rik ,0.34610308,0.1572467
Snap91 ,0.18146946,0.1572275
Lyl1 ,0.43760609,0.1572242
Lyz1 ,0.36959359,0.1572233
Fbxo45 ,0.29154407,0.1572225
Kctd13 ,0.26218243,0.1572067
Jmjd2d ,0.16781658,0.1571925
Art3 ,0.28914105,0.1570667
Fhl2 ,0.45880527,0.1570533
Elavl1 ,0.29952048,0.1570083
Cyp2b10 ,0.22337045,0.156995
BC002199 ,0.20302574,0.1569308
Pck2 ,0.44980607,0.1568642
Tmem79 ,0.34525657,0.1567875
Kcnj4 ,0.47941896,0.1567708
Vsx1 ,0.33343559,0.1567325
Dsn1 ,0.22112266,0.1567108
Pdlim5 ,0.28408583,0.15669
Pop7 ,0.19792524,0.1566892
Amph ,0.33878903,0.1566542
Slc22a1 ,0.30125612,0.1566525
Stard6 ,0.39300331,0.156645
D1Pas1 ,0.15398222,0.1566108
Gpr45 ,0.38230107,0.1565967
Sntg2 ,0.17583345,0.156585
Igsf3 ,0.28828,0.1565567
Gpr156 ,0.2300343,0.1564908
Tssc1 ,0.29527482,0.1564683
Fam3a ,0.33819566,0.1564658
Mtg1 ,0.18934336,0.1564517
Mapre2 ,0.44455429,0.1562667
Arhgdib ,0.53293297,0.1562317
Msx1 ,0.41283399,0.1562192
Dub1 ,0.41317114,0.1562133
Cel ,0.68038088,0.1561733
Slc32a1 ,0.41564324,0.1559617
Pcdh7 ,0.32559452,0.1559033
Cts6 ,0.2023029,0.15588
Emp3 ,0.42874479,0.1558708
63656,0.29362948,0.15576
St8sia4 ,0.53352406,0.1556525
Cdkl3 ,0.14422638,0.155645
Foxl2 ,0.33766978,0.1556425
Gmpr2 ,0.21975801,0.1556033
Syt14 ,0.16850616,0.1555833
Zfp275 ,0.12917108,0.1555008
Ebna1bp2 ,0.26678113,0.1554983
Gzmg ,0.40735845,0.15537
Gng12 ,0.18771416,0.1552667
Cxxc5 ,0.20600501,0.155265
Bace2 ,0.31247942,0.155225
1190017O12Rik ,0.22086667,0.1551617
Fgfbp3 ,0.22186159,0.1550642
Il17c ,0.24280863,0.1550525
Bpgm ,0.31364032,0.15501
Kcnk5 ,0.51045316,0.15493
Il22ra2 ,0.12745697,0.1548367
Olfr803 ,0.22515352,0.1548117
Ncstn ,0.33816132,0.1547592
Zcchc8 ,0.24252435,0.1547375
Surf2 ,0.33400437,0.1547092
59200,0.26666144,0.1547042
Hoxb6 ,0.3159984,0.1547017
Abhd1 ,0.18235724,0.154655
Fancb ,0.17925536,0.1545425
Mdh2 ,0.27730694,0.154525
Lrrc15 ,0.4727718,0.1545125
Spnb1 ,0.1893706,0.1544033
Gpkow ,0.22407624,0.1543817
Txndc17 ,0.2060352,0.154345
Ucn2 ,0.39801767,0.1540792
Krt18 ,0.39132653,0.1540667
Fam55b ,0.28107216,0.153875
Slc27a4 ,0.37891645,0.1538592
Dcxr ,0.22841265,0.15379
Aqp4 ,0.48533101,0.1537792
Lzic ,0.4549742,0.153715
2610027L16Rik ,0.28157039,0.1536983
Prepl ,0.27888797,0.1536417
Expi ,0.21438454,0.1536258
Hars ,0.41823216,0.1536092
Cyp4a12a ,0.32563298,0.1535558
2310016C08Rik ,0.26311348,0.1534267
E230016K23Rik ,0.4361407,0.1533667
Rfc1 ,0.28043416,0.1533358
Scpep1 ,0.29914212,0.1533217
Cdc42ep4 ,0.18188097,0.153315
Nog ,0.49135683,0.1532992
Haao ,0.24696376,0.1532983
Zfp30 ,0.18017772,0.1532925
Wdr8 ,0.29200664,0.1532675
Scrn2 ,0.4071528,0.153255
Gal3st1 ,0.18580971,0.1531825
Papd4 ,0.24187246,0.1531767
Zfp334 ,0.31873154,0.1531067
Krt14 ,0.19951193,0.1530558
Lingo1 ,0.25204817,0.1530167
AI836003 ,0.31061659,0.152985
Tnfsf9 ,0.50546351,0.1529483
Lrrc33 ,0.31437572,0.1529042
Olfr887 ,0.37005555,0.15283
Lbx2 ,0.35635933,0.1527775
Plat ,0.67294535,0.1527408
Cst12 ,0.24231694,0.1526592
Adam23 ,0.48038209,0.1526583
Jarid1b ,0.25944786,0.1526042
Olfr1061 ,0.31533164,0.1525992
Arih1 ,0.36350699,0.1525333
Mmp17 ,0.22520896,0.152405
Jag2 ,0.42410376,0.1523925
Aldh1l1 ,0.27345859,0.15234
Zbtb7a ,0.30154477,0.1523267
Rad9 ,0.26433444,0.1522933
Pop1 ,0.20804195,0.1522567
Herc4 ,0.60600139,0.152245
Sox10 ,0.25091087,0.152245
E030002O03Rik ,0.21456291,0.1522433
Cyp26b1 ,0.33460359,0.1522358
EG13909 ,0.14561211,0.1522358
Hpse ,0.42305415,0.1522267
Polh ,0.20378505,0.15222
Pam ,0.39376099,0.1522167
Traf3ip3 ,0.22265539,0.1521975
Olfr780 ,0.18252673,0.1521967
Olfr247 ,0.37347269,0.1521708
Mbtd1 ,0.15564036,0.1521158
Hcrtr1 ,0.18070654,0.1521067
Tmed1 ,0.15780694,0.1520908
Ilvbl ,0.13762256,0.1520817
Nans ,0.2894481,0.1520492
1700020O03Rik ,0.22249355,0.1520325
Calr3 ,0.18355964,0.1520292
AI462493 ,0.20930288,0.1519875
Olfr76 ,0.44371337,0.1519467
Foxk1 ,0.31554839,0.15193
Olfr820 ,0.44640417,0.15193
Fam102a ,0.39026521,0.151925
Dctn5 ,0.19524518,0.1518733
Kcnk12 ,0.35483617,0.1517942
Rhod ,0.20945806,0.1517458
Bmpr1b ,0.31626232,0.151675
Klf5 ,0.33269759,0.1516358
Tarsl2 ,0.29392732,0.1515958
Trim27 ,0.32463989,0.1514558
Sf3b1 ,0.16884801,0.1514417
F2rl3 ,0.31339204,0.1513717
Tyrobp ,0.46193156,0.1512683
Qtrt1 ,0.26293682,0.151215
1700001K19Rik ,0.44131182,0.1511317
Olfr118 ,0.20342885,0.1510142
Olfr907 ,0.23383445,0.1510042
Wdr21 ,0.1306475,0.1508575
Defb5 ,0.29865378,0.1508433
Bdkrb1 ,0.63441057,0.1508083
V1rb3 ,0.65762589,0.1508008
Tcl1b4 ,0.59496925,0.150795
Cyp4f18 ,0.15765139,0.1507567
Clec14a ,0.24509104,0.1507317
Atm ,0.31725575,0.1505783
St3gal4 ,0.19440652,0.1505733
Sdc4 ,0.2756105,0.1504642
Wfdc15a ,0.30545491,0.1504292
Dctpp1 ,0.34321853,0.1504067
Rft1 ,0.25355911,0.1504067
Fam128b ,0.3699217,0.1504008
Dgat1 ,0.30716852,0.1503767
Usp10 ,0.35906529,0.1502983
B3gnt5 ,0.27712297,0.1502925
Hoxb5 ,0.23150789,0.1502608
Nkx2-3 ,0.28600271,0.1501575
Zfp9 ,0.38031308,0.1500925
Vcam1 ,0.53990956,0.1500033
Gngt1 ,0.20899026,0.1498925
Colec10 ,0.20111681,0.1498533
Sema4b ,0.45534471,0.1498158
Kcnk2 ,0.34544792,0.14979
Cxcr3 ,0.43807536,0.1497633
Vtcn1 ,0.24794569,0.1497425
Kmo ,0.19844197,0.1497275
Lce1l ,0.37813567,0.14965
Zfp365 ,0.35794886,0.1495933
Foxd1 ,0.45437146,0.1495825
Nalcn ,0.31806467,0.1495525
Slc36a3 ,0.18682435,0.1495367
Lcn8 ,0.25998612,0.1495358
Tmem114 ,0.40099887,0.1495108
Ccdc59 ,0.20297269,0.1494358
1100001G20Rik ,0.26767265,0.1493642
Gnl3 ,0.29878452,0.1493625
Prpf8 ,0.28806152,0.14935
Tmub2 ,0.34086671,0.1493125
Dmrtc1a ,0.31494685,0.1492642
Lrrc46 ,0.29496772,0.14916
Olfr1442 ,0.40537885,0.1491325
Tcp10b ,0.77801758,0.1490842
Tmem143 ,0.30589289,0.1490767
Crygb ,0.36228082,0.1490008
Arhgap29 ,0.43007311,0.1489733
Ankrd40 ,0.33559431,0.1489442
Glud1 ,0.3363338,0.1488275
Rfc3 ,0.46043694,0.1487817
Vdr ,0.39627012,0.1487583
Ing1 ,0.24606069,0.1486783
Hspa2 ,0.29014803,0.1486475
Lyplal1 ,0.27796925,0.1486383
Ccl25 ,0.2233234,0.1485442
Snta1 ,0.15313724,0.14848
Akap3 ,0.33908732,0.1484067
Klk1b4 ,0.26264812,0.1483792
2610528J11Rik ,0.48408337,0.1483692
Cdcp2 ,0.40183073,0.1481958
Trhr2 ,0.29519005,0.14819
Slitrk3 ,0.30820152,0.1481433
Plcb4 ,0.31857806,0.14813
Apoa2 ,0.26485003,0.1480533
Serpinb2 ,0.19460458,0.1480058
F12 ,0.30048953,0.1479783
EG13909 ,0.17008896,0.1479708
Adam24 ,0.29480699,0.1479375
Lrrfip2 ,0.5046019,0.1478333
Ccdc94 ,0.31033455,0.147805
Dlg1 ,0.184544,0.14777
69809,0.45144869,0.14776
Olfr1309 ,0.48303648,0.1477217
Uck1 ,0.25535027,0.1477125
Lonp2 ,0.20284408,0.147675
Galntl2 ,0.22294338,0.1476233
Crp ,0.22591707,0.1476192
Atrx ,0.25586999,0.1476042
Bre ,0.32555251,0.147475
Nfia ,0.21751573,0.1474458
Kctd11 ,0.29263088,0.1474092
Cend1 ,0.25114058,0.14737
Socs1 ,0.54838246,0.147355
Hoxc8 ,0.58967004,0.1473508
V1re13 ,0.26574118,0.1472733
Apoc1 ,0.26200114,0.1471708
Rarg ,0.23095688,0.1471625
Cpd ,0.47711527,0.1471308
Ccdc63 ,0.22528743,0.14707
Gtf2h3 ,0.29031767,0.1470442
Lgi1 ,0.75270482,0.147035
Shisa4 ,0.48608306,0.1470292
Fcgr4 ,0.29754426,0.1470083
Atxn3 ,0.29373918,0.1469933
0610007L01Rik ,0.3801722,0.1469417
Exoc8 ,0.28788004,0.1469067
Usp47 ,0.29635994,0.1468992
Vti1b ,0.36581299,0.1468892
Pctp ,0.23252328,0.1468617
Wnt9b ,0.53761798,0.1468083
Cypt6 ,0.41998267,0.14676
Scyl3 ,0.32843052,0.1467367
Ttll12 ,0.34748858,0.1467108
Msrb3 ,0.39772813,0.1466567
Dusp3 ,0.38404309,0.1465775
Elovl5 ,0.2375701,0.14655
Hes7 ,0.39010061,0.1465133
Lypd3 ,0.33142426,0.1465108
Abcb6 ,0.26033064,0.1464608
Lsm11 ,0.20555442,0.1464033
Dyx1c1 ,0.21257503,0.1463442
Kif18a ,0.29179583,0.1462983
Zfp511 ,0.18364361,0.1462317
Olfr232 ,0.22704327,0.1461792
1500003O03Rik ,0.43218406,0.146175
D14Ertd436e ,0.32260915,0.14608
Slc17a7 ,0.37772386,0.1460775
Gm1008 ,0.4655387,0.1460525
Mgmt ,0.44049606,0.1459658
Olfr1226 ,0.55433627,0.1459375
Timd4 ,0.23042069,0.1459225
Slc6a11 ,0.20907237,0.1459175
Mrpl46 ,0.32982197,0.1459067
Pth ,0.24829583,0.1459042
Fgf1 ,0.17564629,0.1459008
Cpa6 ,0.19587767,0.145755
Mmp24 ,0.40655042,0.1457417
Zfp385a ,0.3986103,0.1457417
Rassf6 ,0.43017511,0.1457183
Pik3ca ,0.1671374,0.145705
Ptdss2 ,0.3214963,0.1456592
2810021B07Rik ,0.47125913,0.1455658
2810032G03Rik ,0.18029684,0.1455008
Cd300e ,0.24554696,0.1454967
Ppp3ca ,0.28116272,0.1454058
Creb5 ,0.43433218,0.1453308
Mon1a ,0.20920834,0.1453258
Ccr9 ,0.28458517,0.1453242
BC043934 ,0.32091773,0.1452625
Fsd1l ,0.45547559,0.1452458
Rxfp4 ,0.42013395,0.14522
Atp5j2 ,0.50000226,0.145115
Ccna2 ,0.63909098,0.1450917
Vps4b ,0.39126894,0.1450575
5330439B14Rik ,0.26122014,0.1450075
2310046K01Rik ,0.22179898,0.1449883
Pnlip ,0.70116544,0.1448842
Slc24a3 ,0.20363929,0.1448167
Rbm6 ,0.28143329,0.1446917
Bin3 ,0.35519737,0.144655
Sgsh ,0.27186334,0.1446242
Spaca1 ,0.27154539,0.1444608
Polr3c ,0.40679198,0.1444558
Eif3d ,0.26081386,0.1444417
Pdzd3 ,0.28738091,0.1442908
Rufy2 ,0.30344665,0.1442325
